,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
0,The Shawshank Redemption,1994,142 min,Drama            ,9.3,81,"2,597,310",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",R
1,The Godfather,1972,175 min,"Crime, Drama            ",9.2,100,"1,792,660",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,R
2,The Dark Knight,2008,152 min,"Action, Crime, Drama            ",9.0,84,"2,568,445",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",PG-13
3,The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama            ",9.0,94,"1,784,145",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,PG-13
4,Schindler's List,1993,195 min,"Biography, Drama, History            ",9.0,94,"1,321,197",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",R
5,The Godfather Part II,1974,202 min,"Crime, Drama            ",9.0,90,"1,235,977",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",R
6,12 Angry Men,1957,96 min,"Crime, Drama            ",9.0,96,"767,354",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Approved
7,Jai Bhim,2021,164 min,"Crime, Drama, Mystery            ",8.9,None,"190,310",None,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",TV-MA
8,Pulp Fiction,1994,154 min,"Crime, Drama            ",8.9,94,"1,991,244",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R
9,Inception,2010,148 min,"Action, Adventure, Sci-Fi            ",8.8,74,"2,279,040",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",PG-13
10,The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama            ",8.8,87,"1,611,346",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",PG-13
11,Fight Club,1999,139 min,Drama            ,8.8,66,"2,045,334",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R
12,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama            ",8.8,92,"1,805,251",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,PG-13
13,Forrest Gump,1994,142 min,"Drama, Romance            ",8.8,82,"2,006,022",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",PG-13
14,"The Good, the Bad and the Ugly",1966,178 min,"Adventure, Western            ",8.8,90,"745,130",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,R
15,Soorarai Pottru,2020,153 min,Drama            ,8.7,None,"110,714",None,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",TV-MA
16,The Matrix,1999,136 min,"Action, Sci-Fi            ",8.7,73,"1,865,224",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R
17,Goodfellas,1990,145 min,"Biography, Crime, Drama            ",8.7,90,"1,122,900",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",R
18,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy            ",8.7,82,"1,256,560",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG
19,One Flew Over the Cuckoo's Nest,1975,133 min,Drama            ,8.7,84,"986,483",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",R
20,Top Gun: Maverick,2022,130 min,"Action, Drama            ",8.6,78,"146,883",#42,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",PG-13
21,K.G.F: Chapter 2,2022,168 min,"Action, Crime, Drama            ",8.6,None,"106,222",None,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Not Rated
22,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi            ",8.6,74,"1,739,779",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,PG-13
23,City of God,2002,130 min,"Crime, Drama            ",8.6,79,"743,212",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",R
24,Spirited Away,2001,125 min,"Animation, Adventure, Family            ",8.6,96,"736,026",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",PG
25,Saving Private Ryan,1998,169 min,"Drama, War            ",8.6,91,"1,352,256",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",R
26,The Green Mile,1999,189 min,"Crime, Drama, Fantasy            ",8.6,61,"1,262,651",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",R
27,Life Is Beautiful,1997,116 min,"Comedy, Drama, Romance            ",8.6,59,"678,793",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",PG-13
28,Se7en,1995,127 min,"Crime, Drama, Mystery            ",8.6,65,"1,594,265",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",R
29,Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi            ",8.6,75,"1,071,886",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",R
30,The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller            ",8.6,85,"1,390,598",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",R
